,prec,real
0,92.69616,55.0
1,81.156876,53.0
2,51.119446,77.0
3,96.20613,64.0
4,104.62239,74.0
5,87.45245,134.0
6,100.52827,147.0
7,79.687225,101.0
8,79.770676,95.0
9,75.37402,115.0
10,104.54913,92.0
11,83.82507,77.0
12,56.238342,52.0
13,68.46654,101.0
14,68.66577,112.0
15,89.79813,123.0
16,97.22786,105.0
17,91.01533,132.0
18,100.48862,81.0
19,75.42244,118.0
20,104.54978,147.0
21,114.02654,155.0
22,132.25865,132.0
23,121.49228,146.0
24,147.48991,155.0
25,147.48958,174.0
26,143.15794,148.0
27,147.49022,166.0
28,147.43439,167.0
29,147.49022,136.0
30,107.64621,70.0
31,74.762,38.0
32,47.604065,65.0
33,73.52121,83.0
34,88.07963,93.0
35,107.4881,108.0
36,108.04764,120.0
37,116.9228,116.0
38,107.6255,94.0
39,107.6255,106.0
40,113.32257,131.0
41,116.70184,159.0
42,139.31517,160.0
43,147.2717,167.0
44,148.95016,189.0
45,147.49022,137.0
46,134.32469,83.0
47,102.80887,18.0
48,63.276787,31.0
49,55.082462,49.0
50,58.860832,56.0
51,78.332825,66.0
52,88.56494,46.0
53,59.23638,9.0
54,47.668316,14.0
55,39.035885,19.0
56,45.72284,49.0
57,55.412415,40.0
58,58.553352,83.0
59,68.67043,100.0
60,72.46191,102.0
61,93.0246,139.0
62,103.56975,81.0
63,83.815834,136.0
64,83.833305,136.0
65,83.29448,123.0
66,93.049095,103.0
67,110.3503,95.0
68,83.825874,89.0
69,76.908005,107.0
70,100.488525,62.0
71,62.108166,86.0
72,68.67075,55.0
73,90.240616,84.0
74,107.637115,181.0
75,128.04951,135.0
76,121.7243,108.0
77,83.82793,135.0
78,96.31382,63.0
79,75.42235,83.0
80,89.793236,47.0
81,62.108166,64.0
82,85.11771,74.0
83,81.6402,107.0
84,100.490555,44.0
85,65.48051,63.0
86,68.67077,184.0
87,117.33533,128.0
88,103.31505,54.0
89,62.10817,69.0
90,68.67005,131.0
91,92.9927,169.0
92,138.02538,132.0
93,110.68268,162.0
94,138.01408,91.0
95,110.68228,65.0
96,68.9753,27.0
97,55.595135,60.0
98,61.356388,117.0
99,83.93026,144.0
100,95.81694,155.0
101,130.57976,195.0
102,150.77953,176.0
103,140.26736,209.0
104,147.49022,120.0
105,116.12077,61.0
106,68.40852,47.0
107,52.264908,22.0
108,44.206154,17.0
109,52.514404,113.0
110,84.20654,262.0
111,144.89474,218.0
112,150.24214,120.0
113,110.64977,72.0
114,76.70823,92.0
115,81.41229,117.0
