,pointname,precision
0,东莞南城元岭,0.793814433
1,东莞东城石井,0.711340206
2,东莞南城西平,0.783505155
3,东莞东城主山,0.701030928
4,东莞莞城梨川,0.793814433
5,东莞观澜,0.783505155
6,东莞万江金泰,0.783505155
7,中山华柏园,0.845360825
8,中山张溪,0.773195876
9,中山紫马岭,0.835051546
10,中山长江旅游区,0.804123711
11,中山中山南区,0.845360825
12,云浮新市府,0.90625
13,云浮牧羊,0.90625
14,云浮文笔,0.875
15,佛山湾梁,0.75257732
16,佛山华材职中,0.608247423
17,佛山南海气象局,0.711340206
18,佛山顺德苏岗,0.711340206
19,佛山容桂街道办,0.75257732
20,佛山高明孔堂,0.845360825
21,佛山三水监测站,0.773195876
22,佛山三水云东海,0.783505155
23,佛山惠景城,0.927083333
24,佛山金桔咀,0.9375
25,广州广雅中学,0.711340206
26,广州市五中,0.680412371
27,广州广东商学院,0.721649485
28,广州市八十六中,0.742268041
29,广州番禺中学,0.680412371
30,广州花都师范,0.690721649
31,广州市监测站,0.711340206
32,广州九龙镇镇龙,0.711340206
33,广州麓湖,0.81443299
34,广州帽峰山森林公园,0.731958763
35,广州体育西,0.742268041
36,广州从化街口,0.721649485
37,广州增城荔城,0.639175258
38,广州南沙街,0.721649485
39,广州南沙黄阁,0.721649485
40,广州番禺大学城,0.731958763
41,广州黄埔科学城,0.762886598
42,广州白云嘉禾,0.731958763
43,广州白云竹料,0.731958763
44,广州花都梯面,0.773195876
45,广州从化良口,0.711340206
46,惠州河南岸金山湖子站,0.804123711
47,惠州下埔横江三路子站,0.804123711
48,惠州江北云山西路子站,0.711340206
49,惠州惠阳区承修路船湖子站,0.835051546
50,惠州大亚湾管委会子站,0.845360825
51,惠州下埔横江三路,0.9375
52,惠州大亚湾管委会,0.947916667
53,惠州惠阳区承修路船湖,0.927083333
54,惠州江北云山西路,0.895833333
55,惠州河南岸金山湖,0.916666667
56,惠州惠阳秋长,0.793814433
57,惠州大亚湾霞涌,0.783505155
58,揭阳新兴,0.835051546
59,揭阳西马,0.804123711
60,揭阳东兴,0.855670103
61,揭阳渔湖,0.824742268
62,揭阳实验小学,0.907216495
63,揭阳曲溪,0.824742268
64,梅州梅县新城,0.886597938
65,梅州环境监控中心,0.886597938
66,梅州梅江月梅,0.855670103
67,汕头金平子站,0.87628866
68,汕头龙湖子站,0.917525773
69,汕头濠江子站,0.845360825
70,汕头澄海子站,0.886597938
71,汕头潮阳子站,0.917525773
72,汕头潮南子站,0.87628866
73,汕头潮南峡山,0.865979381
74,汕尾市环保局,0.863157895
75,汕尾市政府,0.894736842
76,汕尾新城中学,0.884210526
77,江门北街,0.75257732
78,江门西区,0.762886598
79,江门圭峰西,0.804123711
80,江门东湖,0.731958763
81,江门新会银湖,0.804123711
82,江门江海富民,0.824742268
83,河源源西,0.845360825
84,河源东埔,0.845360825
85,河源老城,0.855670103
86,深圳洪湖,0.917525773
87,深圳华侨城,0.896907216
88,深圳盐田,0.845360825
89,深圳龙岗,0.804123711
90,深圳西乡,0.835051546
91,深圳南澳,0.896907216
92,深圳葵涌,0.917525773
93,深圳梅沙,0.907216495
94,深圳南海子站,0.87628866
95,深圳通心岭子站,0.948453608
96,深圳莲花,0.896907216
97,深圳民治,0.87628866
98,深圳横岗,0.886597938
99,深圳坪山,0.865979381
100,清远凤城街办,0.835051546
101,清远环保大楼,0.711340206
102,清远技师学院,0.804123711
103,清远清新太和,0.804123711
104,清远清城东城,0.793814433
105,湛江湛江影剧院,0.979381443
106,湛江市环境监测站,0.979381443
107,湛江环保局宿舍,0.969072165
108,湛江霞山游泳场,0.969072165
109,湛江麻章区环保局,0.969072165
110,湛江坡头区环保局,0.948453608
111,潮州西园路,0.773195876
112,潮州档案局,0.824742268
113,潮州市政府,0.793814433
114,珠海吉大,0.896907216
115,珠海前山,0.948453608
116,珠海唐家,0.835051546
117,珠海斗门,0.896907216
118,珠海横琴,0.907216495
119,珠海金湾,0.93814433
120,肇庆睦岗子站,0.87628866
121,肇庆城中子站,0.886597938
122,肇庆坑口子站,0.907216495
123,肇庆七星岩子站,0.845360825
124,肇庆高要湖西,0.865979381
125,肇庆鼎湖凤凰,0.773195876
126,茂名茂石化七小,0.968085106
127,茂名健康路,0.925531915
128,茂名高岭,0.946808511
129,茂名电白南海,0.946808511
130,茂名电白水东,0.914893617
131,阳江鸳鸯湖,0.873684211
132,阳江马南垌,0.884210526
133,阳江两阳中学,0.905263158
134,阳江阳东陶然,0.905263158
135,韶关市八中,0.855670103
136,韶关碧湖山庄,0.896907216
137,韶关园林处,0.907216495
138,韶关韶关学院,0.81443299
139,韶关曲江监测站,0.835051546
,,0.83
